scenario,top1_acc,top3_acc
boston5g_3p5,0.14989344059447104,0.36372247212254377
city_23_beijing_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_23_beijing_3p5,ok,81,36500,9205,64,2.1644526699275186,0.32402739726680596,0.6398356164383562,7.434789469033593,0.04236827811508529,0.11189570889030702,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_31_barcelona_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_31_barcelona_3p5,ok,18,30023,7479,64,2.1259565938501,0.3286813442947601,0.6466708856503611,5.5110686741852,0.07915496724360224,0.19748629490741673,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_35_san_francisco_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_35_san_francisco_3p5,ok,1,22554,5650,64,3.7553365155294705,0.057595105082790324,0.1605036800726092,3.7833794568492247,0.05150442478139844,0.16849557523706318,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_47_chicago_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_47_chicago_3p5,ok,2,22442,5646,64,3.3266554893141453,0.09419837804449273,0.2529631940245087,3.8086875452878752,0.052426496642703414,0.13779667021691525,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_72_capetown_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_72_capetown_3p5,ok,77,513282,127933,64,0.6432425272577115,0.7391843080411937,0.9829216687902557,8.048863270842707,0.18965395948871552,0.4776797229748724,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
